iter	Passed	Remaining
795	4595	1177
796	4600	1171
797	4605	1165
798	4610	1159
799	4615	1153
800	4620	1147
801	4626	1142
802	4631	1136
803	4636	1130
804	4642	1124
805	4648	1118
806	4654	1113
807	4659	1107
808	4664	1101
809	4669	1095
810	4675	1089
811	4680	1083
812	4684	1077
813	4690	1071
814	4695	1065
815	4700	1059
816	4706	1054
817	4711	1048
818	4716	1042
819	4722	1036
820	4728	1030
821	4733	1024
822	4739	1019
823	4746	1013
824	4752	1008
825	4758	1002
826	4765	996
827	4774	991
828	4780	986
829	4785	980
830	4791	974
831	4798	968
832	4804	963
833	4809	957
834	4815	951
835	4822	945
836	4828	940
837	4833	934
838	4840	928
839	4845	922
840	4851	917
841	4857	911
842	4862	905
843	4868	899
844	4873	894
845	4879	888
846	4884	882
847	4889	876
848	4894	870
849	4900	864
850	4905	858
851	4910	852
852	4915	847
853	4920	841
854	4925	835
855	4931	829
856	4936	823
857	4941	817
858	4947	812
859	4952	806
860	4958	800
861	4964	794
862	4970	789
863	4975	783
864	4981	777
865	4986	771
866	4991	765
867	4996	759
868	5002	754
869	5007	748
870	5013	742
871	5018	736
872	5024	730
873	5029	725
874	5034	719
875	5040	713
876	5045	707
877	5051	701
878	5056	696
879	5061	690
880	5067	684
881	5073	678
882	5078	672
883	5084	667
884	5089	661
885	5094	655
886	5100	649
887	5105	643
888	5110	638
889	5116	632
890	5121	626
891	5126	620
892	5131	614
893	5137	609
894	5142	603
895	5148	597
896	5154	591
897	5159	586
898	5164	580
899	5170	574
900	5175	568
901	5181	562
902	5186	557
903	5191	551
904	5197	545
905	5202	539
906	5207	533
907	5213	528
908	5218	522
909	5224	516
910	5230	511
911	5235	505
912	5241	499
913	5246	493
914	5251	487
915	5257	482
916	5262	476
917	5268	470
918	5273	464
919	5278	459
920	5284	453
921	5289	447
922	5295	441
923	5300	435
924	5305	430
925	5310	424
926	5316	418
927	5321	412
928	5326	407
929	5331	401
930	5336	395
931	5342	389
932	5347	384
933	5352	378
934	5357	372
935	5363	366
936	5368	360
937	5373	355
938	5379	349
939	5385	343
940	5390	337
941	5396	332
942	5401	326
943	5406	320
944	5412	315
945	5417	309
946	5422	303
947	5428	297
948	5433	292
949	5438	286
950	5444	280
951	5450	274
952	5457	269
953	5463	263
954	5469	257
955	5477	252
956	5483	246
957	5488	240
958	5494	234
959	5500	229
960	5506	223
961	5512	217
962	5518	212
963	5524	206
964	5529	200
965	5534	194
966	5540	189
967	5546	183
968	5552	177
969	5558	171
970	5564	166
971	5569	160
972	5576	154
973	5582	149
974	5587	143
975	5593	137
976	5598	131
977	5603	126
978	5610	120
979	5616	114
980	5621	108
981	5626	103
982	5632	97
983	5636	91
984	5642	85
985	5647	80
986	5652	74
987	5658	68
988	5663	62
989	5668	57
990	5674	51
991	5679	45
992	5684	40
993	5689	34
994	5695	28
995	5700	22
996	5707	17
997	5712	11
998	5717	5
999	5723	0
